if_,Genotype,Phenotype,Activity_Score,Comment,Gene,Flag,Flag_Note
Hs00010001_cn2.0C___2222771_A0WTC__11484460_40WTC__27102414_10HETC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0HET,*1/*8,Intermediate Metabolizer,1,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2C___2222771_A0WTC__11484460_40WTC__27102414_10HETC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0HET,*1/*8,Intermediate Metabolizer,1,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3.0C___2222771_A0WTC__11484460_40WTC__27102414_10HETC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0HET,*1/*8 DUP,Intermediate - Ultrarapid Metabolizer,?1,"Phenotype possibly ranges from intermediate to ultrarapid metabolizer as the result of duplication (DUP) does not indicate which allele is duplicated, nor how many allele copies the duplication results in. Decreased to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0WTC__11484460_40WTC__27102414_10HETC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0HET,*1/*8 DUP,Intermediate - Ultrarapid Metabolizer,?1,"Phenotype possibly ranges from intermediate to ultrarapid metabolizer as the result of duplication (DUP) does not indicate which allele is duplicated, nor how many allele copies the duplication results in. Decreased to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0WTC__11484460_40WTC__27102414_10WTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60HETC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*9,Normal Metabolizer,1.5,"Normal CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,no,
Hs00010001_cn2C___2222771_A0WTC__11484460_40WTC__27102414_10WTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60HETC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*9,Normal Metabolizer,1.5,"Normal CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,no,
Hs00010001_cn3.0C___2222771_A0WTC__11484460_40WTC__27102414_10WTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60HETC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*9 DUP,Normal to Ultrarapid Metabolizer,2^,"Normal to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype. CYP2D6 Ultrarapid metabolizer phenotype is possible for this patient. The result of duplication “DUP” does not indicate which allele is duplicated.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0WTC__11484460_40WTC__27102414_10WTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60HETC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*9 DUP,Normal to Ultrarapid Metabolizer,2^,"Normal to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype. CYP2D6 Ultrarapid metabolizer phenotype is possible for this patient. The result of duplication “DUP” does not indicate which allele is duplicated.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0WTC__11484460_40MUTC__27102414_10MUTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*10/*10,Intermediate metabolizer,0.5,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2C___2222771_A0WTC__11484460_40MUTC__27102414_10MUTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*10/*10,Intermediate metabolizer,0.5,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3.0C___2222771_A0WTC__11484460_40MUTC__27102414_10MUTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*10/*10 DUP,Unknown Phenotype,0.5^,"This individual is carrying at least one allele with uncertain/unknown function and the phenotype cannot be determined at this time. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0WTC__11484460_40MUTC__27102414_10MUTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*10/*10 DUP,Unknown Phenotype,0.5^,"This individual is carrying at least one allele with uncertain/unknown function and the phenotype cannot be determined at this time. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0HETC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*10/*17,Intermediate Metabolizer,0.75,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2C___2222771_A0HETC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*10/*17,Intermediate Metabolizer,0.75,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3.0C___2222771_A0HETC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*10/*17 DUP,Intermediate - Ultrarapid Metabolizer,1^,"Phenotype possibly ranges from intermediate to ultrarapid metabolizer as the result of duplication (DUP) does not indicate which allele is duplicated, nor how many allele copies the duplication results in. Decreased to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0HETC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*10/*17 DUP,Intermediate - Ultrarapid Metabolizer,1^,"Phenotype possibly ranges from intermediate to ultrarapid metabolizer as the result of duplication (DUP) does not indicate which allele is duplicated, nor how many allele copies the duplication results in. Decreased to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20HETC__34816116_20WTC_30634117C_K0WT,*10/*29,Intermediate Metabolizer,0.75,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20HETC__34816116_20WTC_30634117C_K0WT,*10/*29,Intermediate Metabolizer,0.75,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3.0C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20HETC__34816116_20WTC_30634117C_K0WT,*10/*29 DUP,Intermediate - Ultrarapid Metabolizer,1^,"Phenotype possibly ranges from intermediate to ultrarapid metabolizer as the result of duplication (DUP) does not indicate which allele is duplicated, nor how many allele copies the duplication results in. Decreased to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20HETC__34816116_20WTC_30634117C_K0WT,*10/*29 DUP,Intermediate - Ultrarapid Metabolizer,1^,"Phenotype possibly ranges from intermediate to ultrarapid metabolizer as the result of duplication (DUP) does not indicate which allele is duplicated, nor how many allele copies the duplication results in. Decreased to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20HETC_30634117C_K0WT,*10/*41,Intermediate Metabolizer,0.75,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20HETC_30634117C_K0WT,*10/*41,Intermediate Metabolizer,0.75,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3.0C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20HETC_30634117C_K0WT,*10/*41 DUP,Intermediate - Ultrarapid Metabolizer,1^,"Phenotype possibly ranges from intermediate to ultrarapid metabolizer as the result of duplication (DUP) does not indicate which allele is duplicated, nor how many allele copies the duplication results in. Decreased to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20HETC_30634117C_K0WT,*10/*41 DUP,Intermediate - Ultrarapid Metabolizer,1^,"Phenotype possibly ranges from intermediate to ultrarapid metabolizer as the result of duplication (DUP) does not indicate which allele is duplicated, nor how many allele copies the duplication results in. Decreased to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0MUTC__11484460_40WTC__27102414_10MUTC__27102425_10MUTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*17/*17,Intermediate Metabolizer,1,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2C___2222771_A0MUTC__11484460_40WTC__27102414_10MUTC__27102425_10MUTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*17/*17,Intermediate Metabolizer,1,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3.0C___2222771_A0MUTC__11484460_40WTC__27102414_10MUTC__27102425_10MUTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*17/*17 DUP,Intermediate - Ultrarapid Metabolizer,1^,"Phenotype possibly ranges from intermediate to ultrarapid metabolizer as the result of duplication (DUP) does not indicate which allele is duplicated, nor how many allele copies the duplication results in. Decreased to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0MUTC__11484460_40WTC__27102414_10MUTC__27102425_10MUTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*17/*17 DUP,Intermediate - Ultrarapid Metabolizer,1^,"Phenotype possibly ranges from intermediate to ultrarapid metabolizer as the result of duplication (DUP) does not indicate which allele is duplicated, nor how many allele copies the duplication results in. Decreased to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0HETC__11484460_40WTC__27102414_10MUTC__27102425_10MUTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20HETC__34816116_20WTC_30634117C_K0WT,*17/*29,Intermediate Metabolizer,1,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2C___2222771_A0HETC__11484460_40WTC__27102414_10MUTC__27102425_10MUTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20HETC__34816116_20WTC_30634117C_K0WT,*17/*29,Intermediate Metabolizer,1,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3.0C___2222771_A0HETC__11484460_40WTC__27102414_10MUTC__27102425_10MUTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20HETC__34816116_20WTC_30634117C_K0WT,*17/*29 DUP,Intermediate - Ultrarapid Metabolizer,1^,"Phenotype possibly ranges from intermediate to ultrarapid metabolizer as the result of duplication (DUP) does not indicate which allele is duplicated, nor how many allele copies the duplication results in. Decreased to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
